Tissue Type,Disease,Gene,Common Genomic Variant(s),Significance,Primary Assays
Kidney,Alagille Syndrome,JAG1,LOF,haploinsufficiency,"SGAs, NGS"
Liver,Hepatic Adenoma,CTNNB1 (Beta-Catenin),Exon 3 mutations,aberrant nuclear expression,"IHC, SGAs, NGS"
Liver,Hereditary Hemochromatosis,HFE,"C282Y, H63D",germline diagnosis,"SGAs, NGS"
Liver,Wilson Disease,ATP7B,,germline diagnosis,SGAs
Lung,"Non-Small Cell CA (NSCLC, adenocarcinoma)",BRAF,V600E,predicts response to BRAF inhibitors (dabrafenib-trametinib),"SGAs, NGS"
Lung,"Non-Small Cell CA (NSCLC, adenocarcinoma)",ROS1 rearrangement,Multiple fusion partners,responsiveness to TKIs,"FISH, NGS, AMP"
Lung,"Non-Small Cell CA (NSCLC, adenocarcinoma)",ALK rearrangement,EML4-ALK; inv(2),responsiveness to TKIs,"FISH, IHC, NGS, AMP"
Lung,"Non-Small Cell CA (NSCLC, adenocarcinoma)",RET Rearrangement,Multiple fusion partners,responsiveness to TKIs,"FISH, NGS, AMP"
Lung,"Non-Small Cell CA (NSCLC, adenocarcinoma)",EGFR,exons 18-21; L858R,responsiveness to TKIs,"IHC, SGAs, NGS"
Lung,"Non-Small Cell CA (NSCLC, adenocarcinoma)",EGFR,exon 20; T790M,resistance to first line therapy; de novo and acquired,"SGA, NGS"
Lung,-1 antitrypsin deficiency,SERPINA1,PiMM / PiZZ alleles,germline diagnosis,SGAs
Lung,Cowden Syndrome,PTEN,LOF,germline diagnosis; risk of hereditary cancer,"SGAs, NGS"
Lung,Li-Fraumeni syndrome,TP53,LOF,risk of hereditary cancer,"SGAs, NGS"
Multi-System,McCune Albright Syndrome,GNAS,,germline diagnosis; risk of hereditary cancer,"SGAs, NGS"
Multi-System,MEN Types 1 / 2A & 2B / 4,MEN1 / RET / CDKN1B,,germline diagnosis; risk of hereditary cancer,"SGAs, NGS"
Multi-System,Neurofibromatosis,NF1 / NF2,LOF,germline diagnosis; risk of hereditary cancer,"SGAs, NGS"
Multi-System,Peutz-Jeghers Syndrome,STK11,LOF,germline diagnosis; risk of hereditary cancer,"SGAs, NGS"
Multi-System,Tuberous Sclerosis,TSC1 / TSC2,,germline diagnosis; risk of hereditary cancer,"SGAs, NGS"
Oropharynx,Squamous CA,High-risk HPV,"high risk virus, type 16, 18, other",Improved prognosis,"IHC (p16), ISH, Viral Typing"
Ovary,Ovarian CA,CTNNB1 (Beta-Catenin),"Exon 3 mutations or intragenic
                                                                                       deletion                                                                                                                                                                                                                                                       ",diagnostic,"IHC, SGAs, NGS"
Ovary,Ovarian CA,PIK3CA,Amplification,responsiveness to PI3K inhibitors,"SGAs, NGS"
Ovary,Ovarian CA,PTEN,LOF,germline diagnosis; risk of hereditary cancer,"SGAs, NGS"
Ovary,"Small cell CA, hypercalcemic type",SMARCA4 (BRG1),LOF,diagnostic; risk of hereditary cancer,"SGAs, NGS"
Ovary,High grade serous carcinoma,TP53,"SNVs, indels",diagnostic,"IHC, SGAs, NGS"
Ovary,High grade serous carcinoma,"BRCA1 / BRCA2, germline and somatic",,response to Platinum-based chemotherapy & PARPi,"SGA, NGS"
Ovary,Low-grade serous carcinoma,"KRAS, BRAF",SNVs,"diagnostic, potential response to MEK-inhibitors",
Ovary,HBOC / Sporadic,BRCA1 / BRCA2,LOF,response to PARP inhibitors,"SGAs, NGS"
Prostate,Prostate CA,AR,"SNVs, Amplification","diagnostic, prognosis, resistance to androgen deprivation","IHC, SGAs, NGS, FISH"
Prostate,Prostate CA,TMPRSS2 rearrangement,TMPRSS2-ERG; t(21;21),"diagnostic,","FISH, NGS"
Skin,Merkel Cell Carcinoma,Merkel Cell Polyoma Virus,Virus,diagnostic,"ISH, Viral Test"
Skin,Melanoma,BRAF,V600,"responsiveness to vemurafenib, dabrafenib","IHC, SGAs, NGS"
Skin,Melanoma,KIT (CD117),"exon 8, 9, 11, 13, 17 variants",responsiveness to TKIs,"SGAs, NGS"
Skin,Melanoma,PDGFRA,"exon 12, 14, 18 variants",responsiveness to TKIs,"SGAs, NGS"
Skin,Melanoma,NRAS,G12; G13; Q61,diagnostic,"SGAs, NGS"
Skin,Melanoma,NF1,LOF,diagnostic,"SGAs, NGS"
Skin,Melanoma,TERT,promoter mutations,diagnostic,"SGAs, NGS"
Soft Tissue,Alveolar Rhabdomyosarcoma,FOXO1 rearrangement,PAX3-FOXO1; t(2;13),diagnostic,"FISH, NGS, AMP"
Soft Tissue,Ewing sarcoma,EWSR1 rearrangement,EWSR1-FLI1; t(11;22) (most common),diagnostic,"FISH, NGS, AMP"
Soft Tissue,Fibrosarcoma,ETV6 rearrangements,ETV6-NTRK3; t(12;15),"diagnostic, response to NTRK inhibitors","FISH, NGS, AMP"
Soft Tissue,Inflammatory Myofibroblastic Tumor,ALK rearrangement,TPM3-ALK; t(2;5),responsiveness to TKIs,"FISH, IHC, NGS, AMP"
Soft Tissue,Solitary Fibrous Tumor,STAT6 rearrangement,NAB2-STAT6; inv(12),diagnostic,"IHC, SGAs, NGS,AMP"
Soft Tissue,Synovial Sarcoma,SS18 rearrangement,SS18-SSX1; t(X;18),diagnostic,"FISH, NGS, AMP"
Stomach,Gastric CA,ERBB2 (HER2),Amplification / Overexpression; S310; L755,responsiveness to Trastuzumab,"FISH, IHC"
Stomach,Hereditary Diffuse Gastric CA,CDH1 (E-Cadherin),LOF,risk of hereditary cancer,"SGAs, NGS"
Thymus,Thymic carcinoma,KIT (CD117),exon 11 variants; D820,responsiveness to TKIs,"IHC, SGAs, NGS"
Thymus,Follicular Thyroid CA,PAX8-PPARG rearrangement,PAX8-PPAR; t(2;3),diagnostic,FISH
Thyroid,Papillary Thyroid CA,BRAF,V600,"diagnostic; responsiveness to vemurafenib, dabrafenib","IHC, SGAs, NGS"
Thyroid,Papillary Thyroid CA,RET rearrangement,"PTC1, PTC2, PTC3 common partners",diagnostic; responsive to targeted RET inhibition,"FISH, NGS, AMP"
Thyroid,Papillary Thyroid CA,TERT,promoter mutations,prognosis,"SGAs, NGS"
Urinary Tract,Urothelial carcinomas,FGFR3 rearrangement or mutation,FGFR3-TACC3; S249,response to FGFR inhibitors,"NGS, AMP"
